date, pm25, pm10, o3, no2, co
2023/3/3, 181, 114, 57, 8, 13
2023/3/4, 182, 121, 69, 8, 13
2023/3/5, 182, 109, 61, 8, 9
2023/3/6, 173, 67, 46, 8, 4
2023/3/7, 126, 60, 57, 8, 6
2023/3/8, 124, 75, 64, 8, 5
2023/3/9, 148, 60, 59, 8, 3
2023/3/10, 123, 74, 73, 8, 6
2023/3/11, 144, 84, 56, 8, 8
2023/3/12, 159, 91, 59, 8, 10
2023/3/13, 161, 85, 60, 8, 8
2023/3/14, 154, 61, 49, 8, 6
2023/3/15, 125, 57, 40, 8, 7
2023/3/16, 118, 67, 41, 8, 7
2023/3/17, 121, 56, 35, 8, 6
2023/3/18, 111, 39, 27, 8, 5
2023/3/19, 82, 59, 23, 8, 3
2023/3/20, 94, 27, 22, 3, 4
2023/3/21, 61, 35, 23, 6, 5
2023/3/22, 78, 36, 23, 6, 5
2023/3/23, 77, 31, 25, 6, 6
2023/3/24, 70, 41, 41, 6, 5
2023/3/25, 86, 39, 39, 2, 4
2023/3/26, 81, , , , 
2023/3/28, 133, 62, 34, 4, 7
2023/3/29, 130, 37, 27, 4, 7
2023/3/30, 82, 35, 22, 3, 8
2023/3/31, 80, , , , 
2022/10/1, 101, 10, 5, 23, 9
2022/10/2, 27, 27, 6, 42, 8
2022/10/3, 61, 39, 8, 23, 9
2022/10/4, 82, 38, 21, 22, 10
2022/10/5, 79, 21, 14, 43, 10
2022/10/6, 54, 26, 11, 23, 9
2022/10/7, 61, 15, 10, 44, 10
2022/10/8, 38, 13, 4, 23, 9
2022/10/9, 33, 43, 7, 25, 11
2022/10/10, 87, 40, 9, 43, 12
2022/10/11, 82, 46, 8, 47, 14
2022/10/12, 97, 57, 5, 26, 15
2022/10/13, 117, 48, 5, 45, 13
2022/10/14, 93, 48, 7, 25, 16
2022/10/15, 95, 63, 28, 45, 12
2022/10/16, 119, , , , 
2022/10/24, 95, 46, 24, 45, 15
2022/10/25, 88, 55, 19, 45, 15
2022/10/26, 102, 60, 23, 46, 15
2022/10/27, 114, 54, 23, 46, 14
2022/10/28, 104, 58, 12, 46, 13
2022/10/29, 108, 50, 18, 48, 11
2022/10/30, 96, 56, 23, 54, 12
2022/10/31, 109, 57, 26, 59, 12
2022/11/1, 109, 52, 31, 59, 12
2022/11/2, 95, 51, 21, 61, 13
2022/11/3, 99, 57, 15, 58, 13
2022/11/4, 111, 59, 25, 52, 9
2022/11/5, 111, 74, 22, 52, 3
2022/11/6, 133, 72, 29, 52, 3
2022/11/7, 139, 71, 23, 50, 3
2022/11/8, 139, 79, 27, 49, 4
2022/11/9, 146, 76, 19, 51, 4
2022/11/10, 142, 68, 19, 49, 2
2022/11/11, 133, 65, 26, 48, 1
2022/11/12, 129, 68, 35, 45, 1
2022/11/13, 131, 76, 43, 42, 3
2022/11/14, 147, 89, 39, 21, 5
2022/11/15, 157, 77, 24, 16, 4
2022/11/16, 141, 70, 22, 15, 1
2022/11/17, 132, 60, 19, 29, 1
2022/11/18, 115, 59, 25, 33, 1
2022/11/19, 113, 66, 28, 32, 1
2022/11/20, 127, 61, 38, 34, 
2022/11/21, 118, 75, 36, 32, 1
2022/11/22, 142, 80, 40, 35, 3
2022/11/23, 144, 82, 34, 32, 3
2022/11/24, 156, 87, 24, 35, 4
