date, pm25, pm10, o3, no2, so2, co
2024/5/20, 78, 63, 21, 2, 4, 
2024/5/21, 85, 56, 15, 2, 3, 
2024/5/22, 79, 67, 17, 3, 4, 
2024/5/23, 106, 64, 18, 2, 3, 
2024/5/24, 134, 63, 15, 2, 3, 
2024/5/25, 100, 59, 15, 1, 2, 
2024/5/26, 84, 71, 11, 2, 4, 
2024/5/27, 87, 59, 14, 1, 6, 
2024/5/28, 57, 73, 15, 2, 6, 
2024/5/29, 97, 68, 16, 1, 5, 
2024/5/30, 103, 59, 18, 2, 5, 
2024/5/31, 89, 55, 19, 2, 8, 
2024/6/1, 252, 50, 19, 2, 7, 
2024/6/2, 48, 69, 17, 2, 4, 
2024/6/3, 107, 73, 17, 1, 5, 
2024/6/4, 132, 57, 11, 2, 5, 
2024/6/5, 142, 55, , 1, 2, 
2024/6/6, 89, 65, 8, 1, 2, 
2024/6/7, 69, 57, 13, 2, 2, 
2024/6/8, 76, 54, 8, 2, 3, 
2024/6/9, 55, 26, 16, 2, 4, 
2024/6/10, 68, 34, 7, 2, 3, 
2024/6/11, 68, 34, 6, 2, 20, 
2024/6/12, 47, 34, 7, 2, 9, 
2024/6/13, 43, 30, 5, 2, 11, 
2024/6/14, 46, 33, 8, 2, 7, 
2024/6/15, 55, 43, 5, 2, 3, 
2024/6/16, 58, 35, 2, 2, 7, 
2024/6/17, 54, 44, 2, 2, 3, 
2024/6/18, 67, 40, 6, 2, 2, 
2024/6/19, 76, 44, 1, 3, 2, 
2024/6/20, 74, 50, 5, 2, 2, 
2024/6/21, 63, 37, 5, 3, 2, 
2024/6/22, 62, 56, 3, 2, 3, 
2024/6/23, 78, , , , , 
2024/6/27, 55, 29, 5, 2, 2, 
2024/6/28, 57, 46, 2, 2, 4, 
2024/6/29, 63, 44, 3, 2, 4, 
2024/6/30, 61, 49, 38, 2, 21, 
2024/1/20, 229, , , , , 
2024/1/22, 248, 185, 7, 8, 3, 7
2024/1/23, 210, 131, 10, 7, 3, 8
2024/1/24, 177, 143, 11, 7, 4, 8
2024/1/25, 179, 203, 27, 7, 10, 9
2024/1/26, 199, 192, 6, , 1, 7
2024/1/27, 199, 161, 8, , 9, 11
2024/1/28, 176, 156, 17, 7, 10, 15
2024/1/29, 184, , , , , 
2023/10/9, 163, 94, 32, 9, 2, 45
